,id,lang,text,negative,positive,neutral
539,1623273749423456256,EN,"RT @pinocchiomovie: Life is the journey, love is the reward. The Most Honored Animated Film of the Year, experience @RealGDT’s #PinocchioMo…",-1,3,1
540,1623273708176478212,EN,"RT @netflix: If it's been a minute since you last watched Emma Stone and Ryan Gosling dazzle in La La Land, the magical movie musical is no…",-1,1,0
543,1623273649917804544,EN,RT @netflix: Love is sharing a password.,-1,3,1
544,1623273599049277441,EN,RT @artsypulse: Please make #Decibel available worldwide on @netflix,-1,2,1
545,1623273584486412288,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
546,1623273537631813632,EN,RELEASE HIM @sexeducation @netflix @Ofcom @parliamentbuk https://t.co/Ej6JSwishj https://t.co/xenTK82qxd,-1,1,0
547,1623273533668196354,EN,"@WnSavior @netflix @lucydesigns0 @cspenn This is so frustrating.
 NETFLIX BRING BACK OCS #WarriorNun #SaveWarriorNun",-3,2,-1
548,1623273507411963904,EN,RT @hiddlestb: 1899! @netflix BRING BACK 1899 #Save1899,-1,2,1
549,1623273449283268608,EN,"RT @vishnu_k2000: #Thunivu Trending on @netflix 🔥

#AjithKumar #AK62

#ThunivuOnNetflix https://t.co/ql6TPHjFOj",-1,1,0
550,1623273416571625479,EN,"RT @Kara_Di: Hey, @Netflix remember what it was like to care about your shows? 

NETFLIX BRING BACK OCS  #SaveWarriorNun #WarriorNun  #Repr…",-1,2,1
551,1623273397676548097,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
552,1623273384225443841,EN,"Lmao I love how @netflix subs translate ""hetakusou"" as ""donkey"" in @BlueLockManga anime. 
Istg this anime is peak shonenification of sports.",-1,3,1
554,1623273321063387136,EN,"RT @netflix: If it's been a minute since you last watched Emma Stone and Ryan Gosling dazzle in La La Land, the magical movie musical is no…",-1,1,0
555,1623273278130503681,EN,"RT @ChaEunwooINTL: Further to #TrueBeauty drama launched on @Netflix (select countries) ranking #8 GLOBALLY, #CHAEUNWOO's #Instagram follow…",-1,1,0
557,1623273250339033088,EN,"RT @ThalaSathisArun: Showtime : #Thunivu 

Theatre mattum illa OTT first show than 🥳

Thanks @netflix ♥️

#AjithKumar #ThunivuOnNetflix htt…",-1,1,0
558,1623273219238027272,EN,"RT @netflix: If it's been a minute since you last watched Emma Stone and Ryan Gosling dazzle in La La Land, the magical movie musical is no…",-1,1,0
559,1623273212141240320,EN,"RT @WTA: Digging beneath the surface 🟦🧱🌱

The cast of #BreakPoint on @netflix explain how the courts vary on Tour 👩‍🏫",-1,1,0
560,1623273206105911296,EN,"RT @ChaEunwooINTL: After #TrueBeauty, #ChaEunwoo's movie #DECIBEL is coming soon on #Netflix

Stay tuned to watch the heart-wrenching story…",-1,1,0
562,1623273112983994369,EN,RT @ChaEunwooINTL: 🔥#CHAEUNWOO's hit drama True Beauty success saga continues -  Launched on Netflix 2 years after release in select countr…,-2,3,1
563,1623273110081351683,EN,@McConaughey @netflix I should play him I was told I look like him and I have the charisma lol,-1,2,1
564,1623273110014160896,EN,"RT @AgnesSzalkowska: Yo @netflix . With love from your small audience. 

NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun https://t.co/SY…",-1,3,1
565,1623273107137122305,EN,"#Thunivu Trending on @netflix 🔥

#AjithKumar #AK62

#ThunivuOnNetflix https://t.co/ql6TPHjFOj",-1,1,0
566,1623273101143474178,EN,"RT @sheesh_eesh3: We are waiting @netflix 
NETFLIX BRING BACK OCS 
#SaveWarriorNun #WarriorNun https://t.co/iCyP5v7uft",-1,2,1
567,1623273095984300032,EN,"RT @SnyderQueen_: So if the cameos are cut from the ending. It means they're all out. The only way we will see Henry Cavill Superman, Gal G…",-1,1,0
568,1623273088400953348,EN,"If @Netflix keeps #LockwoodandCo going then I'll forgive them for previous cancellations apart from #Winx and #julieandthephantoms 
👁👄👁",-2,2,-1
569,1623273086656077828,EN,"RT @netflix: Nimona is coming to Netflix! 

In a future medieval land, shapeshifter Nimona @ChloeGMoretz bursts into the lives of heroic kn…",-1,3,1
570,1623273064040366081,EN,"RT @sapphicboghag: This isn't easy to say so I'm just gonna say it.
#WarriorNun is a show of incomparable beauty, breathtaking in every fac…",-1,3,1
571,1623273045669339137,EN,RT @sotrulycharlie: give us the bloopers you cowards @netflix #SaveWarriorNun #WarriorNun,-2,2,-1
573,1623272989746659330,EN,"I Just Entered to Win a @Roku, @Hulu gift card, @Netflix Gift Card, &amp; @Antennasdirect.
@CordCuttersNews Enter Here: https://t.co/ytQvhRZZ2X",-1,1,0
575,1623272942661410818,EN,@Christi40616191 @Christie_Whelan “On the way…” except that it’s been wrapped up in Europe for almost 3 months yet @netflix still has not released it in the U.S.,-1,1,0
577,1623272893684629505,EN,@BGR @BTS_twt But @netflix dared to delete his live while he did free promo to the serie 😒,-1,1,0
578,1623272866371305478,EN,"RT @thatgay_nerd: Like so many, Midnight Club, 1899, Partner in track, archive 81, the society
@netflix you suck, the way you couldn't iden…",-2,2,-1
580,1623272711404527619,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
581,1623272709575565317,EN,"RT @sheesh_eesh3: We are waiting @netflix 
NETFLIX BRING BACK OCS 
#SaveWarriorNun #WarriorNun https://t.co/iCyP5v7uft",-1,2,1
582,1623272701597974530,EN,".@pamelaanderson premiered her new movie last night in Toronto! 

Have  you watched it yet on @netflix? I LOVED it! - Erin (&amp; Peter) #MOVEMornings https://t.co/1bs35NgIUh",-1,5,1
583,1623272669948047361,EN,"#Thunivu is now available for streaming on Netflix. The uncensored version without any cuts is now available for streaming on Netflix.

The film can be streamed in Telugu, Tamil, Malayalam and Hindi languages.

#ThunivuOnNetflix #AjithKumar 
@netflix @NetflixIndia https://t.co/j4NvgDUMtM",-1,1,0
584,1623272669176287233,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
585,1623272605880025088,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
586,1623272598799884289,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
587,1623272592227594246,EN,"RT @netflix: If it's been a minute since you last watched Emma Stone and Ryan Gosling dazzle in La La Land, the magical movie musical is no…",-1,1,0
588,1623272577195196416,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
589,1623272576821624832,EN,@savelakewoodnj @jewinthecity @Trevornoah @netflix Trevor Noah? The guy who worries that it's not a fair fight if Jews have the ability to defend themselves?,-4,1,-1
592,1623272528771706882,EN,"RT @iroarn: “⁦@netflix⁩ ‘s been busy canceling everyone’s favorite shows, wondering why they’re losing subs. A show that has an intense fan…",-3,2,-1
593,1623272492403130369,EN,"RT @idriselba: 24.02.23 in cinemas. 10.03.23 on Netflix. See you soon.

@netflix #LutherTheFallenSun https://t.co/Gikxb9n54t",-1,1,0
596,1623272449919053826,EN,"RT @delaneygabs: Isn't she beautiful??😍😍😍😍😍🥰🥰🥰🥰🥰
@netflix I need u to bring her back bring back warrior nun 🙏🙏
#SaveWarriorNun #WarriorNun…",-1,3,1
597,1623272398475739136,EN,"@netflix Warrior Nun
NETFLIX BRING BACK OCS 
#SaveWarriorNun #WarriorNun #TuesdayMotivaton",-1,2,1
598,1623272386736046081,EN,"@netflix NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun",-1,2,1
599,1623272382134624257,EN,"RT @netflix: If it's been a minute since you last watched Emma Stone and Ryan Gosling dazzle in La La Land, the magical movie musical is no…",-1,1,0
600,1623272370084450304,EN,"@drewexmachina @netflix It was amazing!!! Gonna do it again next week! We MUST get more!!

#1899Netflix 
#save1899",-1,4,1
602,1623272309422444544,EN,"@AgnesSzalkowska @netflix NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun",-1,2,1
603,1623272295547682817,EN,RT @netflix: Get ready to feel old as the cast of That '90s Show takes a quiz about the 1990s https://t.co/fMZ3eNbfzS,-1,1,0
604,1623272259334062080,EN,RT @ChaEunwooINTL: 🔥#CHAEUNWOO's hit drama True Beauty success saga continues -  Launched on Netflix 2 years after release in select countr…,-2,3,1
605,1623272223510511618,EN,"RT @ChaEunwooINTL: True Beauty continues to be insanely popular ranking Global Top8 on @netflix

@NetflixKR IG post on #TrueBeauty with #Ch…",-1,2,1
608,1623272142715629569,EN,"@delaneygabs @netflix I have seen so many beautiful women but she is the most attractive. I need to see her in another projects while waiting for WN 🥺. This woman deserves the world!

#SaveWarriorNun #kristinatonteriyoung",-1,3,1
610,1623271996401283072,EN,RT @EliasToufexis: I made this for my friends at @powerhouseanim to celebrate Castlevania Season 3 starting March 5th on @netflix https://t…,-1,2,1
611,1623271984552464385,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
612,1623271973303484418,EN,"RT @netflix: If it's been a minute since you last watched Emma Stone and Ryan Gosling dazzle in La La Land, the magical movie musical is no…",-1,1,0
613,1623271940629876736,EN,"RT @Nelson_Ji: Tomorrow going to be biggest celebration day for all #Ajithkumar sir fans &amp; #Thunivu movie lovers 🥳🔥

12am - Online streamin…",-1,4,1
614,1623271940562604033,EN,"@netflix Shit usopp has the biggest back of them all 👀, dude is jacked....for what?",-2,1,-1
615,1623271928361541632,EN,"RT @BatfleckMovie: We all know Ben Afflecks Batman film had @JoeManganiello as Deathstroke, but what other villains would you like to see m…",-3,1,-1
616,1623271911420747776,EN,"Hi @netflix
How do you guys treat your customers on chat?
The chat support guy asked three details name, creation date and last 8 digits of credit card. After that he is spamming me To keep the account secure, I am unable to make those changes at this time.
#boycottNetflix",-2,2,-1
617,1623271886170759170,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
618,1623271845771481089,EN,RT @allquietmovie: “A jaw-dropping film and a remarkable piece of work.” Take a look behind the scenes of ALL QUIET ON THE WESTERN FRONT. N…,-1,1,0
619,1623271834543333376,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
620,1623271810694369280,EN,"RT @WnSavior: To throw fuel on the @netflix fire, The Order data team expands the promo story. Because of our love for Uncle Simon and good…",-1,3,1
621,1623271783724883968,EN,"@delaneygabs @netflix This pic is next level
NETFLIX BRING BACK OCS 
#SaveWarriorNun #WarriorNun #TuesdayMotivaton",-1,2,1
622,1623271746190311426,EN,RT @ChaEunwooINTL: 🔥#CHAEUNWOO's hit drama True Beauty success saga continues -  Launched on Netflix 2 years after release in select countr…,-2,3,1
623,1623271730218147841,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
624,1623271695376125952,EN,"RT @delaneygabs: Isn't she beautiful??😍😍😍😍😍🥰🥰🥰🥰🥰
@netflix I need u to bring her back bring back warrior nun 🙏🙏
#SaveWarriorNun #WarriorNun…",-1,3,1
625,1623271694004789248,EN,"RT @ThalaSathisArun: Showtime : #Thunivu 

Theatre mattum illa OTT first show than 🥳

Thanks @netflix ♥️

#AjithKumar #ThunivuOnNetflix htt…",-1,1,0
627,1623271678964019202,EN,"RT @Its_praveenJ: Successfully @netflix subscribed
One &amp; only Thala 🔥😍

#ThunivuOnNetflix #Thunivu @Netflix_INSouth  #AjithKumar https://t.…",-1,3,1
628,1623271674228490240,EN,RT @ChaEunwooINTL: 🔥#CHAEUNWOO's hit drama True Beauty success saga continues -  Launched on Netflix 2 years after release in select countr…,-2,3,1
629,1623271608445202432,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
630,1623271563914276864,EN,RT @Leah_WarriorNun: Hey @netflix remember this show you decided to prematurely cancel? Cause it has a “small audience” &amp; a “big budget”! Y…,-2,2,-1
631,1623271558642024448,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
632,1623271552845508608,EN,RT @hayanxstalgia: stop milking it now @netflix and accept you made a mistake. reverse the #WarriorNun cancellation or sell the freaking RI…,-2,1,-1
633,1623271524747870208,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
634,1623271482515423235,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
635,1623271471924510720,EN,"RT @ChaEunwooINTL: After #TrueBeauty, #ChaEunwoo's movie #DECIBEL is coming soon on #Netflix

Stay tuned to watch the heart-wrenching story…",-1,1,0
636,1623271471706431488,EN,"RT @FishwickDavid: The Bank of Dave appeared here in The Times today in a letter from the editor @TheTimes 
#BankofDave @NetflixUK 
#Netfli…",-1,1,0
638,1623271451775336448,EN,"RT @AjithFansWeb: Hey, AJITHIYANS 😎

Finally We Most Expected #Thunivu 
@netflix Streaming Now @Netflix_INSouth Let's Celebrate That Moment…",-1,2,1
639,1623271435027288064,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
640,1623271396276154370,EN,"RT @ChaEunwooINTL: True Beauty continues to be insanely popular ranking Global Top8 on @netflix

@NetflixKR IG post on #TrueBeauty with #Ch…",-1,2,1
641,1623271390915829763,EN,"RT @psychopathicgay: Better not test us. @netflix

NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun https://t.co/Bf8k9KpDVk",-1,2,1
642,1623271388017467392,EN,"@MichelleObama @BarackObama 
WAS A KISS of A LOT OF INTIMACY 
♦️@HouseofCards @netflix ♦️ @KamalaHarris @VP DOESN'T DESERVE IT 
-
@MrRPMurphy  @ryanmurphyprod @therealKripke @JamesGunn @stevendeknight @DougLiman     @FrankSpotnitz @RodRoddenberry @Marina_Sirtis   @WhoopiGoldberg https://t.co/WhoXvTisui",-1,3,1
644,1623271333022019584,EN,"RT @HaziEmilie: Small audience ? 
Are you sure @netflix ?

Because fact don’t lie 

NETFLIX BRING BACK OCS 

#SaveWarriorNun #WarriorNun ht…",-1,2,1
645,1623271303888220161,EN,RT @RationalNerd: Hello @Netflix. It's us. We were wondering if after all these weeks you'd like to meet. To renew Warrior Nun. You said th…,-1,2,1
646,1623271272481259520,EN,"RT @JamesThompsonKS: #SaveWarriorNun in a nutshell!
Piss or get off the pot @netflix Renew or release #WarriorNun 

NETFLIX BRING BACK OCS…",-3,3,-1
647,1623271243586600961,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
648,1623271239057018880,EN,"My patience is running out @netflix 
Sells warrior nun rights now will you. I mfkn subscribed to you and this is how you treat us huh #WarriorNun #SaveWarriorNun https://t.co/7yqdPEYJ11",-1,2,1
649,1623271227166195715,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
651,1623271206592839682,EN,@DaxLoran @netflix Pls bro drop the original,-2,1,-1
652,1623271156584443904,EN,"RT @ThalaSathisArun: Showtime : #Thunivu 

Theatre mattum illa OTT first show than 🥳

Thanks @netflix ♥️

#AjithKumar #ThunivuOnNetflix htt…",-1,1,0
653,1623271151815344129,EN,@thatgay_nerd @netflix They can’t leave us hanging like that😭 https://t.co/w2FrZo4fwI,-1,2,1
654,1623271134341857281,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
655,1623271071775436801,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
656,1623271066482114560,EN,RT @AimFlossyRuss: @netflix You had the most talented cast on 1899! #Save1899 #1899Netflix https://t.co/3Z0zFckwTG,-1,3,1
657,1623271060287156224,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
658,1623271042960482304,EN,RT @Leah_WarriorNun: Hey @netflix remember this show you decided to prematurely cancel? Cause it has a “small audience” &amp; a “big budget”! Y…,-2,2,-1
660,1623271019547951104,EN,"RT @JefferyWarfiel2: As @netflix called us the ""Snyder Army"" is ready #SellZSJLtoNetflix #SellSnyderVerseToNetflix video to where that came…",-1,1,0
661,1623270987981627393,EN,"RT @ae_scar_charoha: Another reason to celebrate… DECIBEL ON NETFLIX coming on March 8!  🎉🎉🎉

*Please be on @Netflix_PH too and @netflix wo…",-1,3,1
662,1623270970482884611,EN,"@Lovingloverblue @netflix NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun #wlw",-1,2,1
665,1623270946013343745,EN,"RT @restoreZSJL: I'm very much looking forward to the event on 14/2

Remember to only use two hashtags per post, otherwise twitter sees it…",-1,1,0
666,1623270919723487233,EN,@Theholisticpsyc @DrLeslieCarr @netflix @carolineheldman Loved the documentary. Wish them both healing ❤️‍🩹,-1,4,1
667,1623270910336589824,EN,"@duponline You really are, and will be, the biggest losers here. I can't wait to watch your downfall. Hey @netflix you might want to look at a doco about the death of this 'political' party. https://t.co/xyz4KHEw92",-3,2,-1
671,1623270847342432257,EN,"@netflix No
Why did oda allow this rubbish.",-3,1,-1
672,1623270790669144064,EN,"RT @Nelson_Ji: #Thunivu now streaming in @netflix 🔥 

#Ajithkumar https://t.co/BLYf42mSbD",-1,1,0
675,1623270758171680770,EN,"RT @AjithFansWeb: Hey, AJITHIYANS 😎

Finally We Most Expected #Thunivu 
@netflix Streaming Now @Netflix_INSouth Let's Celebrate That Moment…",-1,2,1
676,1623270721526046720,EN,"RT @SamratAjithFC: Watch and Enjoy Now 🎦 Only On @netflix ..💥😎

#AjithKumar #Thunivu #Tegimpu 
#AK62 https://t.co/b6tUUYX1AM",-1,1,0
677,1623270720838197248,EN,"RT @Avatrice_mylife: Warrior Nun has the best female representation on your entire platform @netflix 
NETFLIX BRING BACK OCS 
#SaveWarriorN…",-1,2,1
679,1623270692215980032,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
680,1623270614998953985,EN,"RT @TourreBakahai: The judge should summon Omid Scobie to court, attach a cymbal to the top of his head, and bang it  every time the Pinocc…",-1,1,0
681,1623270584162590720,EN,"I sincerely support this top-notch idea 👏👏👏
@netflix please make it happen
#SaveFirstKill #FirstKill https://t.co/rZBZY16nb7",-1,2,1
682,1623270574813511680,EN,@TheNuGeekz @sylabdul @netflix @ZackSnyder @SkiiwalkerTweet @SnyderQueen_ @ZSJLtoNetflix Keep telling yourself that. They’ll sell the stuff that they want to use.,-1,1,0
683,1623270571923365894,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
684,1623270568962281475,EN,"@MichelleObama @BarackObama 
WAS A KISS of A LOT OF INTIMACY 
♦️@HouseofCards @netflix ♦️ @KamalaHarris @VP DOESN'T DESERVE IT 
-
@HISTORY @discoveryplus  @KateWilliamsme @chrisshipitv @sarahgristwood @TheRoyalButler @hardmanr @Bonn1eGreer @RMRussell29 https://t.co/WhoXvTisui",-1,3,1
685,1623270561341374464,EN,"RT @SnyderQueen_: 7 days to go... Are you in?
#SellZSJLtoNetflix @Netflix 
#SellSnyderVerseToNetflix https://t.co/OagLPicBA3",-1,1,0
686,1623270472870952960,EN,We Need more of this Masterpiece 🤩🔥🔥 @netflix #lockwoodandco #deprem #StateOfTheUnionAddress #jfinthemoodforlove #แฉข่าวเช้ามีเนเน่แล้ว #HogwartLegacy https://t.co/frqBFdjvyW,-1,1,0
689,1623270428981739521,EN,"RT @Nelson_Ji: Tomorrow going to be biggest celebration day for all #Ajithkumar sir fans &amp; #Thunivu movie lovers 🥳🔥

12am - Online streamin…",-1,4,1
693,1623270349595987970,EN,"@MichelleObama @BarackObama 
WAS A KISS of A LOT OF INTIMACY 
♦️@HouseofCards @netflix ♦️ @KamalaHarris @VP DOESN'T DESERVE IT 
-
@ArmyChiefStaff
@usairforce @USNavy @USArmy @RoyalAirForce @BritishArmy @RoyalNavy @AusAirForce @StateDeptSpox
@Harvard @UniofOxford @Yale https://t.co/WhoXvTisui",-1,3,1
694,1623270336316989442,EN,"RT @MrVikneswaran: First #Thala #AjithKumar movie on @netflix 🔥🔥🔥. #AK #Thunivu #NoGutsNoGlory.😎

#ThunivuOnNetflix #ThunivuPongalWinner @N…",-1,1,0
695,1623270333380956162,EN,"RT @StudioFramesIn: #AK 's Blockbuster #Thunivu streaming rite now in @netflix 💥 

#ThunivuOnNetflix https://t.co/T94G3rhmk2",-1,1,0
696,1623270325952872448,EN,RT @netflix: The final season of The Umbrella Academy is now in production! https://t.co/3Kik32ka3J,-1,2,1
697,1623270324757491712,EN,@samara_914 @netflix 2.5 bagunattey anna..,-1,1,0
698,1623270301617344514,EN,"RT @Kara_Di: BRING THESE BADASS WOMEN BACK @netflix 

We're on the way to 10,000,000 tweets. Let's keep spreading! 

NETFLIX BRING BACK OCS…",-1,2,1
701,1623270242561523712,EN,RT @jaytatum0: 👀☘️ #BillRussellLEGEND Out on @Netflix tomorrow https://t.co/0HHLKm4WHe,-1,1,0
702,1623270220021514242,EN,"the team has also done amazing collaborative endeavors with big WEB2 companies such as @Disney, @riotgames, @Blizzard_Ent, @CallofDuty, @Marvel to name a few. Not only that, they have also raised over $31 million in funding with these big companies, including @netflix! (9/11) https://t.co/X4beX5Pv46",-1,3,1
703,1623270211980763136,EN,"@MichelleObama @BarackObama 
WAS A KISS of A LOT OF INTIMACY 
♦️@HouseofCards @netflix ♦️ @KamalaHarris @VP DOESN'T DESERVE IT 
-
@ainsleyearhardt @kevincorke @peteHegseth3 @HARRISFAULKNER @ShannonBream @FoxNews
@RepMarkWalker  @RealDeanCain  @We_The_Kingdom @RealRomaDowney https://t.co/WhoXvTisui",-1,3,1
704,1623270119664123904,EN,"@netflix I'm mentally still there, dust collecting on my pinned-up hair
#save1899 
https://t.co/b2M5JWmShK",-1,2,1
705,1623270095458893824,EN,Imagine if @netflix bought the rights to the #DiedSuddendly documentary and aired it.  Massive win for Netflix and an even bigger win for humanity!!!,-1,2,1
708,1623269980317044736,EN,"#thala 's #Thunivu on @netflix @Netflix_INSouth @NetflixIndia Feb 8... Must watch on @netflix film lovers... u will enjoy the man of mass #thalaajithkumar performance 
#ThunivuTheRealWinner 
#ThunivuOnNetflix https://t.co/9P8okcz27Y",-1,4,1
709,1623269978463158273,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
710,1623269956073803776,EN,"RT @blasphemusdeus: okay, my patience is wearing thin, @netflix. either bring back #WarriorNun or give it to someone who can continue the s…",-1,1,0
711,1623269954371059712,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
712,1623269943675420674,EN,"RT @Kara_Di: Hey @netflix look, #SaveWarriorNun has 9,000,000 tweets, how about bringing our show back? 

NETFLIX BRING BACK OCS
#SaveWarri…",-1,2,1
714,1623269916987228161,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
715,1623269915930271744,EN,"RT @ChaEunwooINTL: True Beauty continues to be insanely popular ranking Global Top8 on @netflix

@NetflixKR IG post on #TrueBeauty with #Ch…",-1,2,1
716,1623269905448714240,EN,RT @GoodHumorGrl: #WarriorNun has proven to be 1 of the most socially discussed subjects online. The fact it’s becoming even more popular &amp;…,-1,1,0
717,1623269903145762817,EN,"@patramills @netflix Ohh, they're gonna ruin it alright",-2,1,-1
719,1623269789962584064,EN,"Time to share the shiq outta your @netflix password on social media,  and then cancel your subscription.
Pick a day for the revolt. 😆 
https://t.co/IfO521GaJs",-2,1,-1
720,1623269785671987200,EN,"RT @AjithFansWeb: Hey, AJITHIYANS 😎

Finally We Most Expected #Thunivu 
@netflix Streaming Now @Netflix_INSouth Let's Celebrate That Moment…",-1,2,1
721,1623269779263062017,EN,@danielle_binks @netflix There’s at least 3 more books in the series,-1,1,0
723,1623269742890090503,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
725,1623269706822983680,EN,RT @netflix: Netflix and @GM give EVs the stage the deserve this Sunday! #EverybodyIn #EVsOnScreen https://t.co/wY3JENJnqD https://t.co/TvF…,-1,2,1
727,1623269668382179330,EN,"@JamesThompsonKS @netflix NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun #wlw",-1,2,1
728,1623269664284606464,EN,"@danielle_binks @netflix Yeah, me too",-1,1,0
729,1623269642893508611,EN,"@heyglenny @netflix ay if u need cheap, clean glokks hit the link in my bio 5963",-2,1,-1
730,1623269621942960130,EN,"RT @Nelson_Ji: Tomorrow going to be biggest celebration day for all #Ajithkumar sir fans &amp; #Thunivu movie lovers 🥳🔥

12am - Online streamin…",-1,4,1
731,1623269591446351872,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
732,1623269550627360768,EN,@roomtempg8orade @netflix The L is on them,-1,1,0
733,1623269546361597953,EN,@netflix @NetflixFR what about a Kobe Bryant  Documentary? Some like that 🥺,-1,1,0
734,1623269543094386688,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
735,1623269539466334208,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
736,1623269536752365569,EN,"RT @Kara_Di: Hey, @Netflix remember what it was like to care about your shows? 

NETFLIX BRING BACK OCS  #SaveWarriorNun #WarriorNun  #Repr…",-1,2,1
738,1623269466061828096,EN,"RT @SamratAjithFC: Watch and Enjoy Now 🎦 Only On @netflix ..💥😎

#AjithKumar #Thunivu #Tegimpu 
#AK62 https://t.co/b6tUUYX1AM",-1,1,0
740,1623269431873794048,EN,"RT @Kara_Di: Hey @netflix look, #SaveWarriorNun has 9,000,000 tweets, how about bringing our show back? 

NETFLIX BRING BACK OCS
#SaveWarri…",-1,2,1
741,1623269430724812801,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
742,1623269399862935552,EN,Larissa was and is a gem. I hope she will return. @netflix @lovegwendoline https://t.co/JkDwPEM12J,-1,3,1
744,1623269346033209344,EN,@TourreBakahai @netflix Nate the Lawyer will be contributing.,-1,1,0
746,1623269319957422083,EN,"#thala 's #Thunivu on @netflix @Netflix_INSouth @NetflixIndia Feb 8... Must watch on @netflix film lovers... u will enjoy the man of mass #thalaajithkumar performance 
#ThunivuTheRealWinner 
#ThunivuOnNetflix https://t.co/nQ84whgMce",-1,4,1
747,1623269275741073408,EN,"RT @ae_scar_charoha: Another reason to celebrate… DECIBEL ON NETFLIX coming on March 8!  🎉🎉🎉

*Please be on @Netflix_PH too and @netflix wo…",-1,3,1
748,1623269259240706048,EN,RT @netflix: Love is sharing a password.,-1,3,1
749,1623269254090067968,EN,RT @netflix: Love is sharing a password.,-1,3,1
